Customer Information
Customer,Inter Arrival Time,Arrival Time,Service Time,Service Start Time,Departure Time,Queue Waiting Time
1,1.71741,1.71741,1.73243,1.71741,3.44985,0
2,0.680475,2.39789,1.38137,3.44985,4.83122,1.05196
3,1.36722,3.76511,3.47017,4.83122,8.30138,1.0661
4,1.24459,5.00971,0.73031,8.30138,9.03169,3.29168
5,0.979368,5.98907,3.14341,9.03169,12.1751,3.04262
6,1.89325,7.88232,0.428498,12.1751,12.6036,4.29278
7,1.88484,9.76716,0.782888,12.6036,13.3865,2.83644
8,1.49034,11.2575,1.44415,13.3865,14.8306,2.12899
9,1.35291,12.6104,0.688215,14.8306,15.5189,2.22023
10,0.832066,13.4425,1.52488,15.5189,17.0437,2.07638
